lambda_um,width_um,height_um,n_eff_TE,n_eff_TM
0.75,1.325,0.8,1.97287533220515,1.96762572129648
0.75,1.325,0.825,1.97474813726162,1.97003894774596
0.75,1.325,0.85,1.97648823907756,1.97226489795126
0.75,1.325,0.875,1.97811061296841,1.97432423682234
0.75,1.325,0.9,1.97963019542407,1.97623621372064
0.75,1.325,0.925,1.9810631135354,1.97801967953716
0.75,1.325,0.95,1.98242871202065,1.97969460519535
0.75,1.325,0.975,1.98375321881412,1.98128469380943
0.75,1.325,1,1.98507708247241,1.98282255148483
0.75,1.35,0.6,1.95142234407764,1.93858042908231
0.75,1.35,0.625,1.95509754731743,1.94365933341333
0.75,1.35,0.65,1.95846649231819,1.94822741527491
0.75,1.35,0.675,1.96152294566359,1.95237437367647
0.75,1.35,0.7,1.96433935520569,1.9561262144925
0.75,1.35,0.725,1.9669066505633,1.95955221348331
0.75,1.35,0.75,1.96928370859331,1.96266866525857
0.75,1.35,0.775,1.97147006470378,1.96552725984932
0.75,1.35,0.8,1.97349060955744,1.96814997243895
0.75,1.35,0.825,1.97536266192168,1.97056258322543
0.75,1.35,0.85,1.97710205255674,1.97278795649457
0.75,1.35,0.875,1.97872374679137,1.97484674955805
0.75,1.35,0.9,1.98024266788859,1.97675820254047
0.75,1.35,0.925,1.98167492380235,1.97854115398481
0.75,1.35,0.95,1.9830398290882,1.98021555666578
0.75,1.35,0.975,1.98436355967722,1.98180508432836
0.75,1.35,1,1.98568646424969,1.9833422900769
0.75,1.375,0.6,1.95200546411594,1.93907983841576
0.75,1.375,0.625,1.95567552742219,1.94414975880815
0.75,1.375,0.65,1.95904873108703,1.94872507832159
0.75,1.375,0.675,1.96210068071025,1.9528645385558
0.75,1.375,0.7,1.96492082795868,1.95662237315323
0.75,1.375,0.725,1.96748417136931,1.96004202952688
0.75,1.375,0.75,1.9698645121577,1.96316353085957
0.75,1.375,0.775,1.97205055344561,1.9660215411471
0.75,1.375,0.8,1.97407080023571,1.9686437095739
0.75,1.375,0.825,1.97594256761582,1.9710558116011
0.75,1.375,0.85,1.97768168190665,1.97328070648661
